plate_well,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,CELL_COUNT,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,RingTotalInten_RNA,RingAvgInten_RNA,CircTotalInten_RNA,CircAvgInten_RNA,RingSpotTotalInten_RNA,RingSpotAvgInten_RNA,RingSpotTotalArea_RNA,RingSpotAvgArea_RNA,RingSpotCount_RNA,CircSpotTotalInten_RNA,CircSpotAvgInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,CircSpotCount_RNA,TotalInten_RNA,AvgInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,CircTotalInten_PMG,CircAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotTotalArea_PMG,RingSpotAvgArea_PMG,RingSpotCount_PMG,CircSpotTotalInten_PMG,CircSpotAvgInten_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,CircSpotCount_PMG,TotalInten_PMG,AvgInten_PMG,RingTotalInten_MITO,RingAvgInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgInten_MITO,RingSpotTotalArea_MITO,RingSpotAvgArea_MITO,RingSpotCount_MITO,TotalInten_MITO,AvgInten_MITO,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex
1A1_B21,B21,Plate1_drugs,1,floxuridine,treated,0.5,10,1A1,2,21,0,0,0,0,-1204876.906,0,0,0,-1863182.766,-140.3761428,-1527695.188,-742.2940102,0,0,0,0,0,-217161.4688,-633.2700007,0,0,0,-1527695.188,-742.2940102,0,0,-2108307.469,-831.9843449,0,0,0,0,0,-2740680.156,0,-384.84375,-10.75929239,0,-2108307.469,-831.9843449,0,0,-699459.9063,0,0,0,0,0,0,-1128400.344,0,0,0,0,0,0,-1128400.344,0
1A1_B22,B22,Plate1_drugs,1,floxuridine,treated,0.25,5,1A1,2,22,0,0,0,0,-1531490.656,0,0,0,-1671877.25,-114.2468119,-1246880.492,-570.6540209,0,0,0,0,0,-194588.75,-813.7636167,0,0,0,-1246880.492,-570.6540209,0,0,-1939128.188,-781.4426989,0,0,0,0,0,-2627609.344,0,-337.1875,-14.52867803,0,-1939128.188,-781.4426989,0,0,-678881.875,0,0,0,0,0,0,-1477040.625,0,0,0,0,0,0,-1477040.625,0
1A1_B23,B23,Plate1_drugs,1,floxuridine,treated,0.125,2.5,1A1,2,23,0,0,0,0,-829656.5,0,0,0,-1247554.516,-12.61222833,-938379.9375,-624.2995662,0,0,0,0,0,-181396.8125,-387.1736542,0,0,0,-938379.9375,-624.2995662,0,0,-1662965.969,-695.9764003,0,0,0,0,0,-1792665.719,0,-248.0625,-9.067226504,0,-1662965.969,-695.9764003,0,0,-427908.7813,0,0,0,0,0,0,-819496.2813,0,0,0,0,0,0,-819496.2813,0
1A1_C02,C02,Plate1_drugs,1,floxuridine,treated,0.0625,1.25,1A1,3,2,0,0,0,0,1174105.969,0,0,0,-872383.5234,-238.6317357,-217911.8984,-212.4810009,0,0,0,0,0,-60265.8125,-323.2932991,0,0,0,-217911.8984,-212.4810009,0,0,472226.75,313.7716189,0,0,0,0,0,917784.5,0,120,9.171461186,0,472226.75,313.7716189,0,0,-521136.5938,0,0,0,0,0,0,1123229.563,0,0,0,0,0,0,1123229.563,0
1A1_C03,C03,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,3,0,0,0,0,1138740.094,0,0,0,-762943.875,-229.5060472,-199165.1719,-284.5640608,0,0,0,0,0,-94331.3125,-524.8805178,0,0,0,-199165.1719,-284.5640608,0,0,294663.8125,189.4326174,0,0,0,0,0,499812.4063,0,64.75,6.114504489,0,294663.8125,189.4326174,0,0,-1012100.969,0,0,0,0,0,0,1090205.375,0,0,0,0,0,0,1090205.375,0
1A1_C04,C04,Plate1_drugs,1,floxuridine,treated,0.03125,0.625,1A1,3,4,0,0,0,0,1462634.938,0,0,0,-810091.5469,-195.9117437,-339276.4375,-209.0127286,0,0,0,0,0,-87981.59375,-254.3844647,0,0,0,-339276.4375,-209.0127286,0,0,245086.5938,254.0773392,0,0,0,0,0,484249.5625,0,72.0625,5.944783351,0,245086.5938,254.0773392,0,0,-259586.25,0,0,0,0,0,0,1382548.938,0,0,0,0,0,0,1382548.938,0
1A1_C05,C05,Plate1_drugs,1,floxuridine,treated,0.015625,0.3125,1A1,3,5,0,0,0,0,1411201.469,0,0,0,-1098843.461,-196.086842,-249442.8516,-165.4316488,0,0,0,0,0,-48574.40625,-169.9688413,0,0,0,-249442.8516,-165.4316488,0,0,232245.875,231.9189084,0,0,0,0,0,598479,0,82.625,6.920778027,0,232245.875,231.9189084,0,0,-223754.0625,0,0,0,0,0,0,1372251.344,0,0,0,0,0,0,1372251.344,0
1A1_C06,C06,Plate1_drugs,1,haloperidol,treated,1,20,1A1,3,6,0,0,0,0,1482158.531,0,0,0,-722134.4375,-129.9995635,-223277.7656,-173.6240186,0,0,0,0,0,-61263.90625,-241.6996949,0,0,0,-223277.7656,-173.6240186,0,0,13803.90625,149.215382,0,0,0,0,0,613315.5625,0,81.125,7.223400212,0,13803.90625,149.215382,0,0,-223565.9063,0,0,0,0,0,0,1418100.531,0,0,0,0,0,0,1418100.531,0
1A1_C07,C07,Plate1_drugs,1,haloperidol,treated,0.5,10,1A1,3,7,0,0,0,0,1455732.875,0,0,0,-503012.4609,-156.8639018,-234206.6406,-213.2278128,0,0,0,0,0,-101191.0938,-234.3528606,0,0,0,-234206.6406,-213.2278128,0,0,25775.96875,197.9108951,0,0,0,0,0,546066.9688,0,64.46875,8.034108828,0,25775.96875,197.9108951,0,0,124699.125,0,0,0,0,0,0,1407888.281,0,0,0,0,0,0,1407888.281,0
1A1_C08,C08,Plate1_drugs,1,haloperidol,treated,0.25,5,1A1,3,8,0,0,0,0,1331706.188,0,0,0,-985515.2266,-189.0214834,-306766.8594,-251.484913,0,0,0,0,0,-102784.1563,-365.2021948,0,0,0,-306766.8594,-251.484913,0,0,50417.65625,160.8864199,0,0,0,0,0,294214.3438,0,28.03125,6.56425022,0,50417.65625,160.8864199,0,0,146766.75,0,0,0,0,0,0,1273552.313,0,0,0,0,0,0,1273552.313,0
1A1_C09,C09,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,9,0,0,0,0,1769142.969,0,0,0,-358649.0703,-52.81082472,-52052.52344,-126.0033346,0,0,0,0,0,-72973.625,-138.9652973,0,0,0,-52052.52344,-126.0033346,0,0,266875.5938,187.735943,0,0,0,0,0,-2006.5,0,-44.6875,2.665863377,0,266875.5938,187.735943,0,0,107652.25,0,0,0,0,0,0,1691467.313,0,0,0,0,0,0,1691467.313,0
1A1_C10,C10,Plate1_drugs,1,haloperidol,treated,0.125,2.5,1A1,3,10,0,0,0,0,1753659.531,0,0,0,-448102.5391,-80.9482346,90490.72656,-111.5760583,0,0,0,0,0,-11810.3125,46.88622906,0,0,0,90490.72656,-111.5760583,0,0,354632.7188,161.7306067,0,0,0,0,0,339212.3125,0,33.53125,3.771824724,0,354632.7188,161.7306067,0,0,-126581.8438,0,0,0,0,0,0,1675184.719,0,0,0,0,0,0,1675184.719,0
1A1_C11,C11,Plate1_drugs,1,haloperidol,treated,0.0625,1.25,1A1,3,11,0,0,0,0,1612198.406,0,0,0,-754896.1563,-1.864582572,-394316.8828,-1.043726517,0,0,0,0,0,-17601.15625,-168.220046,0,0,0,-394316.8828,-1.043726517,0,0,-57299.53125,68.86304601,0,0,0,0,0,101477.125,0,-8,2.862076377,0,-57299.53125,68.86304601,0,0,-205254.0313,0,0,0,0,0,0,1528175.906,0,0,0,0,0,0,1528175.906,0
1A1_C12,C12,Plate1_drugs,1,haloperidol,treated,0.03125,0.625,1A1,3,12,0,0,0,0,1177995.594,0,0,0,-183882.3984,-46.19365935,-10057.32031,-98.98970344,0,0,0,0,0,-13348.25,-15.95143918,0,0,0,-10057.32031,-98.98970344,0,0,26296.8125,90.66570875,0,0,0,0,0,88612,0,-2.1875,1.91249879,0,26296.8125,90.66570875,0,0,29782.25,0,0,0,0,0,0,1123357.25,0,0,0,0,0,0,1123357.25,0
1A1_C13,C13,Plate1_drugs,1,haloperidol,treated,0.015625,0.3125,1A1,3,13,0,0,0,0,1336666.094,0,0,0,101318.5625,-32.68949979,59253.28125,-77.59589171,0,0,0,0,0,-34919.15625,66.24930812,0,0,0,59253.28125,-77.59589171,0,0,178157.25,151.04229,0,0,0,0,0,60809.65625,0,-33.875,1.534966073,0,178157.25,151.04229,0,0,283338.0938,0,0,0,0,0,0,1293503.281,0,0,0,0,0,0,1293503.281,0
1A1_C14,C14,Plate1_drugs,1,tolfenamic-acid,treated,1,20,1A1,3,14,0,0,0,0,1611477.375,0,0,0,158606.0703,-64.20184564,239438.9219,-41.85084304,0,0,0,0,0,16771.25,47.2507121,0,0,0,239438.9219,-41.85084304,0,0,263672.3438,80.7918593,0,0,0,0,0,314565.5625,0,85.65625,2.369186871,0,263672.3438,80.7918593,0,0,243268.75,0,0,0,0,0,0,1490638.094,0,0,0,0,0,0,1490638.094,0
1A1_C15,C15,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,15,0,0,0,0,1132461,0,0,0,-419241.8281,-115.7103267,-29775.38281,-183.2855851,0,0,0,0,0,14360.84375,39.57482691,0,0,0,-29775.38281,-183.2855851,0,0,87149.375,16.26693077,0,0,0,0,0,346282.4063,0,50.53125,2.255512191,0,87149.375,16.26693077,0,0,271845.0625,0,0,0,0,0,0,1093679.125,0,0,0,0,0,0,1093679.125,0
1A1_C16,C16,Plate1_drugs,1,tolfenamic-acid,treated,0.5,10,1A1,3,16,0,0,0,0,1607341.656,0,0,0,-224386.3672,-33.96483358,35510.22656,-231.1175224,0,0,0,0,0,-40020.96875,-74.53795385,0,0,0,35510.22656,-231.1175224,0,0,97211.9375,-58.91871034,0,0,0,0,0,-291791.2813,0,3.875,0.108522458,0,97211.9375,-58.91871034,0,0,-194157.3125,0,0,0,0,0,0,1517755.938,0,0,0,0,0,0,1517755.938,0
1A1_C17,C17,Plate1_drugs,1,tolfenamic-acid,treated,0.25,5,1A1,3,17,0,0,0,0,1655961.656,0,0,0,-286306.9141,-138.098169,21869.86719,-235.8968681,0,0,0,0,0,-62312.96875,-289.7103589,0,0,0,21869.86719,-235.8968681,0,0,114110.375,74.97053089,0,0,0,0,0,294167.1875,0,38.1875,5.062935637,0,114110.375,74.97053089,0,0,71445.9375,0,0,0,0,0,0,1615365.531,0,0,0,0,0,0,1615365.531,0
1A1_C18,C18,Plate1_drugs,1,tolfenamic-acid,treated,0.125,2.5,1A1,3,18,0,0,0,0,1690804.875,0,0,0,-505396.8125,-167.7308637,105100.7344,-67.11234155,0,0,0,0,0,-56884.46875,-153.2358655,0,0,0,105100.7344,-67.11234155,0,0,260793.2188,85.88732632,0,0,0,0,0,519393.2813,0,83.21875,6.991433202,0,260793.2188,85.88732632,0,0,488164.3438,0,0,0,0,0,0,1649996.938,0,0,0,0,0,0,1649996.938,0
1A1_C19,C19,Plate1_drugs,1,tolfenamic-acid,treated,0.0625,1.25,1A1,3,19,0,0,0,0,1673481.188,0,0,0,-218477.75,-87.20239805,157302.125,-139.6133286,0,0,0,0,0,-46388.75,-174.9995435,0,0,0,157302.125,-139.6133286,0,0,329852.4063,56.68195308,0,0,0,0,0,-13844.59375,0,-11.21875,3.708257219,0,329852.4063,56.68195308,0,0,-87427.5,0,0,0,0,0,0,1623794.094,0,0,0,0,0,0,1623794.094,0
1A1_C20,C20,Plate1_drugs,1,tolfenamic-acid,treated,0.03125,0.625,1A1,3,20,0,0,0,0,1543289.281,0,0,0,522145.2422,-51.39742674,223258.3984,-202.4168743,0,0,0,0,0,-40203.375,-219.9029438,0,0,0,223258.3984,-202.4168743,0,0,417898.8125,93.42699671,0,0,0,0,0,295594.8438,0,43.78125,3.435319871,0,417898.8125,93.42699671,0,0,332741.5938,0,0,0,0,0,0,1500532.688,0,0,0,0,0,0,1500532.688,0
1A1_C21,C21,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,21,0,0,0,0,2020225.281,0,0,0,691746.1719,-19.55743369,510782.7813,30.97022518,0,0,0,0,0,-20331.59375,254.5538921,0,0,0,510782.7813,30.97022518,0,0,384343.3438,75.09513834,0,0,0,0,0,-196894.7188,0,-37.09375,3.434455964,0,384343.3438,75.09513834,0,0,-17647.09375,0,0,0,0,0,0,1955234.469,0,0,0,0,0,0,1955234.469,0
1A1_C22,C22,Plate1_drugs,1,tolfenamic-acid,treated,0.015625,0.3125,1A1,3,22,0,0,0,0,1693611.531,0,0,0,883051.6875,6.571897204,791597.4766,202.6102145,0,0,0,0,0,2241.125,74.06027602,0,0,0,791597.4766,202.6102145,0,0,553522.625,125.6367844,0,0,0,0,0,-83823.90625,0,10.5625,-0.334929673,0,553522.625,125.6367844,0,0,2930.9375,0,0,0,0,0,0,1606594.188,0,0,0,0,0,0,1606594.188,0
1A1_C23,C23,Plate1_drugs,1,amygdalin,treated,1,20,1A1,3,23,0,0,0,0,2395445.688,0,0,0,1307374.422,108.2064808,1100098.031,148.9646692,0,0,0,0,0,15433.0625,500.6502386,0,0,0,1100098.031,148.9646692,0,0,829684.8438,211.1030829,0,0,0,0,0,751119.7188,0,99.6875,5.12652185,0,829684.8438,211.1030829,0,0,253904.0313,0,0,0,0,0,0,2264138.531,0,0,0,0,0,0,2264138.531,0
1A1_D02,D02,Plate1_drugs,1,amygdalin,treated,0.5,10,1A1,4,2,0,0,0,0,-1338202.094,0,0,0,-2213636.367,-483.2910726,-1043841.273,-794.5778425,0,0,0,0,0,-122345.1875,-1234.66341,0,0,0,-1043841.273,-794.5778425,0,0,117231.6875,146.9683262,0,0,0,0,0,1194881.688,0,166.4375,9.27065408,0,117231.6875,146.9683262,0,0,-398658.2188,0,0,0,0,0,0,-1347655,0,0,0,0,0,0,-1347655,0
1A1_D03,D03,Plate1_drugs,1,amygdalin,treated,0.25,5,1A1,4,3,0,0,0,0,-1373567.969,0,0,0,-2104196.719,-474.1653841,-1025094.547,-866.6609025,0,0,0,0,0,-156410.6875,-1436.250629,0,0,0,-1025094.547,-866.6609025,0,0,-60331.25,22.62932471,0,0,0,0,0,776909.5938,0,111.1875,6.213697384,0,-60331.25,22.62932471,0,0,-889622.5938,0,0,0,0,0,0,-1380679.188,0,0,0,0,0,0,-1380679.188,0
1A1_D04,D04,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,4,0,0,0,0,-1049673.125,0,0,0,-2151344.391,-440.5710807,-1165205.813,-791.1095702,0,0,0,0,0,-150060.9688,-1165.754576,0,0,0,-1165205.813,-791.1095702,0,0,-109908.4688,87.27404651,0,0,0,0,0,761346.75,0,118.5,6.043976246,0,-109908.4688,87.27404651,0,0,-137107.875,0,0,0,0,0,0,-1088335.625,0,0,0,0,0,0,-1088335.625,0
1A1_D05,D05,Plate1_drugs,1,amygdalin,treated,0.125,2.5,1A1,4,5,0,0,0,0,-1101106.594,0,0,0,-2440096.305,-440.746179,-1075372.227,-747.5284904,0,0,0,0,0,-110653.7813,-1081.338952,0,0,0,-1075372.227,-747.5284904,0,0,-122749.1875,65.11561574,0,0,0,0,0,875576.1875,0,129.0625,7.019970922,0,-122749.1875,65.11561574,0,0,-101275.6875,0,0,0,0,0,0,-1098633.219,0,0,0,0,0,0,-1098633.219,0
1A1_D06,D06,Plate1_drugs,1,amygdalin,treated,0.0625,1.25,1A1,4,6,0,0,0,0,-1030149.531,0,0,0,-2063387.281,-374.6589004,-1049207.141,-755.7208603,0,0,0,0,0,-123343.2813,-1153.069806,0,0,0,-1049207.141,-755.7208603,0,0,-341191.1563,-17.58791064,0,0,0,0,0,890412.75,0,127.5625,7.322593106,0,-341191.1563,-17.58791064,0,0,-101087.5313,0,0,0,0,0,0,-1052784.031,0,0,0,0,0,0,-1052784.031,0
