plate_well,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,RingTotalInten_RNA,RingAvgInten_RNA,CircTotalInten_RNA,CircAvgInten_RNA,RingSpotTotalInten_RNA,RingSpotAvgInten_RNA,RingSpotTotalArea_RNA,RingSpotAvgArea_RNA,CircSpotTotalInten_RNA,CircSpotAvgInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,TotalInten_RNA,AvgInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,CircTotalInten_PMG,CircAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotTotalArea_PMG,RingSpotAvgArea_PMG,CircSpotTotalInten_PMG,CircSpotAvgInten_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,TotalInten_PMG,AvgInten_PMG,RingTotalInten_MITO,RingAvgInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgInten_MITO,RingSpotTotalArea_MITO,RingSpotAvgArea_MITO,TotalInten_MITO,AvgInten_MITO,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex
1A1_B12,B12,Plate1_drugs,1,alvocidib,treated,0.5,10,1A1,2,12,2065,1.216293689,1.468402333,14006825,7102.189879,1703.630059,51.27611198,9454154,902.5182443,6927863,3417.659959,0,0,0,0,43935,3442.780702,10,2,6927863,3417.659959,26909389,2534.038796,12297639,6741.326335,5794652,4537.841293,1323,14.55639098,7977239,7357.685424,1026,56.25,12297639,6741.326335,17652592,1780.368971,4508214,3603.469828,1329,8.18556701,8157936,3989.03201,14081620,7102.301489,4849019,7600.610411,664,30.06896552,14081620,7102.301489
1A1_B13,B13,Plate1_drugs,1,alvocidib,treated,0.25,5,1A1,2,13,1735,1.247979277,1.508000034,14815215,9003.134421,2214.950498,47.00075117,10388579,1102.827359,7532281,4199.397501,48685,3165.357143,12,2.75,66675,4464.052632,12,2.090909091,7532281,4199.397501,26417587,2688.871501,12618950,6964.100442,5870096,4661.544014,1237,13.34415584,8805923,7837.573391,1137,83.07142857,12618950,6964.100442,21612233,2303.593091,5110393,4767.157649,1132,7.921875,10403583,5641.814391,14564796,8883.024087,5038680,9400.522388,528,32.52777778,14564796,8883.024087
1A1_B14,B14,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,14,1398.5,1.244147397,1.575191008,11351298,8593.895453,2116.8224,42.19742546,13262780.5,1912.25469,7420389.5,5148.362982,6169,3200.493506,1,1,637992.5,7874.94488,83,9.845238095,7420389.5,5148.362982,22542037,3213.137615,9113968.5,6508.42464,2810650,5456.788165,496,11.3491573,5744607,6918.221759,759.5,35.746337,9113968.5,6508.42464,17768338.5,2521.781737,2239850,4637.636854,471,5.68770279,6249706.5,4286.697785,11342036.5,8603.007563,5271535,9060.189548,588.5,39.05,11342036.5,8603.007563
1A1_B15,B15,Plate1_drugs,1,alvocidib,treated,0.125,2.5,1A1,2,15,1738,1.227578365,1.496094951,14107505,7965.085209,2009.391741,47.04136827,10812285,1197.358202,7208937,4013.886033,126096,3715,30,4.2,168527,4885.513514,35,3.333333333,7208937,4013.886033,26506083,2815.97055,13237183,6997.401639,5677403,4708.766444,1186,12.32758621,8761833,7593.954865,1120,52.5,13237183,6997.401639,21685280,2380.26917,4762306,4751.317481,961,7.044155844,9880992,5432.027483,14031075,7920.045338,5246822,8638.278586,589,30.35714286,14031075,7920.045338
1A1_B16,B16,Plate1_drugs,1,alvocidib,treated,0.0625,1.25,1A1,2,16,1698,1.22498641,1.542074519,14659397,8179.433796,2239.453568,46.49688965,13666428,1620.278215,7879556,4603.83185,85583,3555.222222,24,2.65,676146,6034.607143,119,6.8125,7879556,4603.83185,27215412,3197.625966,11313813,6525.518519,3905530,4940.306203,774,7.348623853,7432400,7131.113014,1029,32.97619048,11313813,6525.518519,22416793,2602.793073,3080649,4776.536269,599,3.780645161,8660711,4840.836364,14631993,8147.720063,6181030,8783.839161,703,25.19512195,14631993,8147.720063
1A1_B17,B17,Plate1_drugs,1,alvocidib,treated,0.03125,0.625,1A1,2,17,1640.5,1.213866757,1.493980395,13494327,8261.429178,2087.645268,45.70283826,13976948.5,1706.914626,7542388.5,4743.010407,77018,4033.22,17,3.279220779,782219,6675.706547,119.5,9.788602941,7542388.5,4743.010407,25538888.5,3121.684086,10093651,6060.398741,3758898,4955.32504,756,9.601403509,6074458.5,6496.855383,922,27.87106136,10093651,6060.398741,21072600,2510.891812,3003136.5,4698.804122,637.5,5.204769413,7234652,4440.230888,13514516.5,8259.729998,5722935.5,8677.353938,650,34.79861111,13514516.5,8259.729998
1A1_B18,B18,Plate1_drugs,1,alvocidib,treated,0.015625,0.3125,1A1,2,18,1597.5,1.221355685,1.516632743,12457863.5,7821.239188,1979.676445,45.09984632,14505496.5,1826.991075,7527605,4638.662891,47715,3704.973316,12,3,686707,6602.308154,105,9.788888889,7527605,4638.662891,25709079,3222.943454,9322065,5815.605382,2962945.5,5146.307692,563.5,8.83752357,4861312,6336.794421,767,20.00151515,9322065,5815.605382,22259099.5,2746.809194,2371825.5,4943.605946,463.5,4.152663533,7255689,4523.181641,12487311,7825.414088,5891846.5,8262.98908,705,31.20818182,12487311,7825.414088
1A1_B19,B19,Plate1_drugs,1,floxuridine,treated,1,20,1A1,2,19,1686,1.241983109,1.626063856,11318373,6876.175632,1708.607815,46.33229837,12305444,1398.445342,6720236,4035.202741,0,0,0,0,495615,6262.101695,82,10.28571429,6720236,4035.202741,24820457,2829.309917,9444629,5340.095372,1874518,4578.200599,408,7.25974026,4150983,5939.255274,723,14.85,9444629,5340.095372,20748311,2326.286752,1602592,4136.99693,374,3.3,6983382,4071.730523,11327879,6881.261777,5338478,7169.109901,749,24.43333333,11327879,6881.261777
1A1_B20,B20,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,20,1396,1.246445894,1.590024476,10666834,7994.457404,2076.150389,42.15972221,11822784,1702.126458,6304322,4333.242722,16260,3217.820796,4,2,514504,6411.242975,83,9.598214286,6304322,4333.242722,21635016.5,3042.018011,8172785,5768.339153,2548715.5,5055.349997,496.5,9.283997155,5122915.5,6256.013228,798.5,27.52651515,8172785,5768.339153,16931965.5,2356.907577,1552057.5,4277.81212,357,3.656724991,5814594.5,3965.997382,10626910,8007.550401,5348766.5,8515.511246,614,35.8125,10626910,8007.550401
1A1_B21,B21,Plate1_drugs,1,floxuridine,treated,0.5,10,1A1,2,21,1732,1.231104214,1.611792936,11808655,6851.287879,1708.217241,46.96009893,12183664,1311.73606,6711477,3799.122359,0,0,0,0,524171,6088.859375,88,10.16666667,6711477,3799.122359,25741210,2790.959184,10291699,5840.19746,2705543,4634.031532,592,8.263157895,6036650,6340.726179,911,25.27272727,10291699,5840.19746,24975948,2693.175137,3016267,4856.412564,615,4.713513514,8930460,4914.961349,11794241,6869.596836,5144104,7231.296482,692,24.875,11794241,6869.596836
1A1_B22,B22,Plate1_drugs,1,floxuridine,treated,0.25,5,1A1,2,22,1734,1.228216829,1.569659976,11915338.5,7040.473759,1674.384563,46.98720433,13610625,1548.415661,7107171,4152.845761,0,0,0,0,639394,7072.202447,93.5,10.73333333,7107171,4152.845761,26195453,2960.953258,10103901.5,5829.371518,3017640,4996.147515,609,10.78860294,4925930,6399.479,768.5,20.20512821,10103901.5,5829.371518,22408254.5,2553.803619,2869031.5,4635.030946,638,5.998073785,7757625,4359.920238,11978436,7088.590881,4956424,7370.141973,675,34.41203704,11978436,7088.590881
1A1_B23,B23,Plate1_drugs,1,floxuridine,treated,0.125,2.5,1A1,2,23,1718,1.242927695,1.617427342,9487338,5657.835089,1368.054274,46.76992129,12629279,1448.109391,6478118,3763.703665,3424,2368.5,1,1,519351,5987.02381,92,9.866071429,6478118,3763.703665,25107793,2816.393929,9689404.5,5515.322889,3391266,4851.912491,678.5,12.534375,4040611.5,6140.015805,648.5,19.99644269,9689404.5,5515.322889,24760381,2781.65577,4327662,5203.981178,813,8.931022789,8016333,4625.210169,9523329.5,5699.101473,3823070,5960.873758,633.5,30.25087719,9523329.5,5699.101473
1A1_C02,C02,Plate1_drugs,1,floxuridine,treated,0.0625,1.25,1A1,3,2,1661,1.238577631,1.626431704,9393944,5883.996407,1398.461571,45.98747457,14277797.5,1621.338812,6922356.5,4081.098743,8095.5,3241.525,2,1,590806.5,6430.299603,94.5,9.511111111,6922356.5,4081.098743,25463624,2877.758478,8959450,5266.428127,2830228,4844.984755,558,10.56038984,3831796,5777.262182,662,13.88780842,8959450,5266.428127,31161963.5,3544.033578,4921622.5,6327.298395,764.5,7.93106524,10760640.5,6208.213325,9449246.5,5914.528807,4025863,6166.486248,663,33.28516624,9449246.5,5914.528807
1A1_C03,C03,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,3,1375.5,1.240840922,1.601220281,9149071,7285.926231,1772.750041,41.84902551,11220012.5,1656.857921,5508682,4006.139615,0,0,0,0,443829,5998.465704,73,9,5508682,4006.139615,19646576,2873.303272,6997121.5,5122.066606,1630800,4987.088669,316,9.589399745,2528935.5,5712.299479,439,11.74038462,6997121.5,5122.066606,23173038.5,3368.959558,2905334,6106.286156,461.5,6.810126582,7906225.5,5747.181626,9199333,7340.495877,4246713,7665.044843,560,38.70454545,9199333,7340.495877
1A1_C04,C04,Plate1_drugs,1,floxuridine,treated,0.03125,0.625,1A1,3,4,1591,1.226308322,1.568675411,8824359,5649.887576,1367.698046,45.00804501,14566989,1717.081958,6831804,4269.195562,0,0,0,0,594371,6659.289474,91,9.888888889,6831804,4269.195562,24832682,2923.523774,8609753,5348.338445,2648711,5034.675468,516,10.41052632,3818038,5886.628328,632,14.26829268,8609753,5348.338445,31136846,3631.752026,4381836,6520.644051,647,7.303278689,10381076,6354.795785,8887951,5665.465782,3782648,5936.540268,632,29.92857143,8887951,5665.465782
1A1_C05,C05,Plate1_drugs,1,floxuridine,treated,0.015625,0.3125,1A1,3,5,1691,1.230844573,1.607437499,9039856,5486.340794,1307.992405,46.40094902,14346027,1675.731012,6683352,3937.075425,5456,2632.125,2,1,636330,6082.396552,104,11.625,6683352,3937.075425,25214168,2924.96205,8682961,5121.404784,1876942,4931.479452,374,8,2736578,5663.963068,472,8.901960784,8682961,5121.404784,30656187,3504.406242,2956802,6310.199187,458,5.133928571,10092208,5891.920846,9057111,5500.406286,4040320,5730.696921,701,25.92857143,9057111,5500.406286
1A1_C06,C06,Plate1_drugs,1,haloperidol,treated,1,20,1A1,3,6,1359,1.2447175,1.571032635,8935859,6777.689092,1671.922166,41.59726603,11133332,1668.391728,5610381,3953.029064,43171,3735,11,2.75,489286,5896.228814,84,9.636363636,5610381,3953.029064,20203226,3002.758125,7340515,5254.450476,1530694,5094.214936,300,10.46666667,2613508,5860.506394,447,12.95,7340515,5254.450476,22984364,3411.331629,2611951,6054.593137,423,5.905660377,8013339,5642.741784,9029663,6809.932519,4045543,7078.751168,572,33.04166667,9029663,6809.932519
1A1_C07,C07,Plate1_drugs,1,haloperidol,treated,0.5,10,1A1,3,7,1447.5,1.234823289,1.542722707,9621894.5,6486.936171,1597.735671,42.93033597,11452066.5,1676.671418,5705902,3833.909195,22914,3424.961538,7,2,489702.5,5630.55805,86,9.441558442,5705902,3833.909195,20681963.5,2991.356685,7458683.5,5122.665968,1325533.5,5078.720351,271.5,8.78132005,2346573,5734.797079,397,8.419081779,7458683.5,5122.665968,23438910,3323.920826,2211165,5951.4697,370,5.037388393,8045705.5,5487.93322,9677363.5,6525.152811,4239871.5,6762.474995,627,29.35714286,9677363.5,6525.152811
1A1_C08,C08,Plate1_drugs,1,haloperidol,treated,0.25,5,1A1,3,8,1383,1.223187531,1.511627437,8357641,6366.33936,1569.385318,41.96296332,11624979,1637.203082,5581225,3929.618173,8265,3002.8,2,1,486420,5829.83125,84,9.222222222,5581225,3929.618173,21397353,2925.324196,7280012,5178.120203,2046970,4884.494681,404,9.007518797,3502693,5679.628924,590,13.77419355,7280012,5178.120203,21612098,2982.771492,2200980,5322.414938,401,4.445945946,7211780,5040.333729,8391529,6399.11926,4017146,6683.25,595,29.25925926,8391529,6399.11926
1A1_C09,C09,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,9,1300,1.241412513,1.578601059,7789898,6371.793501,1555.532538,40.68428945,10211043,1492.886966,4856011,3610.533107,9481,2814.8125,3,1.2,443941,5322.505618,85,9.818181818,4856011,3610.533107,19373527,2799.563512,6573467,4915.521684,1452114,4740.087336,296,8.333333333,2558941,5467.309327,474,10.67692308,6573467,4915.521684,20780135,3031.007791,2037098,5244.612121,385,4.342657343,6798243,4998.534868,7823814,6404.190395,4006434,6675.840502,601,37.38095238,7823814,6404.190395
1A1_C10,C10,Plate1_drugs,1,haloperidol,treated,0.125,2.5,1A1,3,10,1330,1.226786652,1.54160265,8060383.5,6781.47238,1631.795701,41.15104609,10947316,1575.244148,5260156,3838.521659,3773.5,2890.6,1,1,425034.5,5932.831169,74,9.236111111,5260156,3838.521659,20132644.5,2843.888725,6872870,5143.793126,1547667.5,4909.314867,300,9.553830228,2647557.5,5769.367432,458.5,13.82802938,6872870,5143.793126,21203206,3017.105375,2477105,5410.086601,443.5,6.30247858,6965438.5,5177.064434,8163322,6823.429946,3860598,7032.257373,546.5,37.38405797,8163322,6823.429946
1A1_C11,C11,Plate1_drugs,1,haloperidol,treated,0.0625,1.25,1A1,3,11,1352,1.230638219,1.545259923,8272342,6618.165845,1586.88621,41.48999432,10658135,1542.165402,5181563,3744.741987,2742,2220.423077,1,1,419278.5,5727.709738,76,9.19375,5181563,3744.741987,19637349.5,2837.514762,7058980,5025.492805,1725319.5,4840.295399,357,9.474130241,2984287.5,5585.654371,526.5,14.06830189,7058980,5025.492805,19912542,2867.484763,2075022.5,5040.400632,402,5.352606952,6701015.5,4751.384386,8328586.5,6662.202877,3844244.5,6872.89327,539.5,31.28054299,8328586.5,6662.202877
1A1_C12,C12,Plate1_drugs,1,haloperidol,treated,0.03125,0.625,1A1,3,12,1342.5,1.228365223,1.52634903,8163055,6515.669309,1570.687639,41.34397211,10441488,1552.40538,5173717,3649.299512,9855,2895.083333,3,1.333333333,405448,5481.427816,74,8.5,5173717,3649.299512,19476720,2790.539033,6932196,4882.228612,1443770.5,4697.354395,302,8.463364293,2711977,5461.839839,483.5,11.76080827,6932196,4882.228612,18497068.5,2638.216041,1541972.5,4648.385637,320.5,4.224713584,6227240.5,4336.31259,8188553.5,6543.637371,3767196.5,6818.104288,544.5,30.99074074,8188553.5,6543.637371
1A1_C13,C13,Plate1_drugs,1,haloperidol,treated,0.015625,0.3125,1A1,3,13,1376,1.231284782,1.533365141,8592608.5,6622.924186,1561.833029,41.85662889,10987271,1669.564439,5474752.5,3835.89126,2962.5,2473.5,1,1,442274,5889.141338,75,9.142857143,5474752.5,3835.89126,19907557,2952.397672,7153584,5028.927496,1321377,5059.732283,246,9.493927126,2137207.5,5654.963699,379,9.103267974,7153584,5028.927496,18746482.5,2804.922174,1706933.5,4990.941013,331,5.15794335,6400690,4510.818482,8637534,6652.785672,3884472,6900.583123,557.5,36.26659039,8637534,6652.785672
1A1_C14,C14,Plate1_drugs,1,tolfenamic-acid,treated,1,20,1A1,3,14,1375,1.234249262,1.550316195,9113061,6911.765944,1676.098847,41.84141936,10989933,1646.397505,5324292,3815.258759,3201,2728,1,1,440517,5811.294118,77,9.25,5324292,3815.258759,19811523,2923.972084,7046970,5069.433725,1625723,4904.412134,314,9.777777778,2293026,5711.565041,406,11.38095238,7046970,5069.433725,18766043,2740.567336,2056618,4735.687204,428,5.858974359,6279453,4423.720215,9156608,6994.340206,4154246,7360.910663,558,37.40909091,9156608,6994.340206
1A1_C15,C15,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,15,1336,1.253364878,1.616324664,9175635,7228.461307,1790.117802,41.24376355,10890295,1549.462232,5480770,3967.243002,4701,3222.818182,1,1,386745,6181.373134,66,8.333333333,5480770,3967.243002,20617437,2834.582556,7238453,5248.939306,1942075,5105.019108,363,12.51724138,2665176,5927.531746,451,14.65625,7238453,5248.939306,19122432,2610.444962,2084072,4953.373796,414,6.391891892,6378562,4621.357852,9213178,7283.601695,4046314,7611.286,531,37,9213178,7283.601695
1A1_C16,C16,Plate1_drugs,1,tolfenamic-acid,treated,0.5,10,1A1,3,16,1403,1.217434201,1.512908702,9055534,6564.152807,1590.282109,42.26529405,11666792,1794.916367,5712486,3977.828814,21370,3454.2,6,2,502778,5944.247788,83,9.666666667,5712486,3977.828814,20489035,3053.518671,7259488,5088.449699,1208287,5046.436975,237,8.109375,2054845,5707.902778,360,8.375,7259488,5088.449699,17786249,2701.470861,1348044,4568.307317,296,3.672897196,5970408,4199.372022,9049065,6580.343295,3941126,6865.251969,563,28.63636364,9049065,6580.343295
1A1_C17,C17,Plate1_drugs,1,tolfenamic-acid,treated,0.25,5,1A1,3,17,1372,1.227987121,1.526194269,8358075,6587.126612,1591.981693,41.79574925,11637225,1702.432262,5621382,4023.455429,11915,3445.555556,3,1.333333333,470346,6167.966102,78,8.75,5621382,4023.455429,20843532,2980.14794,7198254,5140.829024,1392472,5146.111538,256,10,2322387,5795.855072,400,9.523809524,7198254,5140.829024,19682885,2852.277095,1672420,5197.113924,313,4.85046729,6505226,4688.069051,8396928,6617.968182,3869575,6936.035809,549,29.125,8396928,6617.968182
1A1_C18,C18,Plate1_drugs,1,tolfenamic-acid,treated,0.125,2.5,1A1,3,18,1343,1.22317974,1.525265754,8127063,6582.74122,1616.161613,41.35167117,10853627,1717.20395,5378211,3841.055154,33615,3508.4,9,2.75,458990,5718.125,79,9.363636364,5378211,3841.055154,19624572,3007.849875,7009178,5051.111775,1506519,4958.125,282,8.888888889,2523082,5691.763536,445,10.13235294,7009178,5051.111775,18624003,2822.797508,1475484,4998.059016,293,4.185483871,6356770,4577.035988,8165480,6578.327823,3963813,6946.366159,552,29.4,8165480,6578.327823
1A1_C19,C19,Plate1_drugs,1,tolfenamic-acid,treated,0.0625,1.25,1A1,3,19,1348,1.22488477,1.50801228,8290535,6844.451076,1647.838601,41.42857596,11239074,1623.076441,5433218,3948.723516,24109,3600.5,6,2.666666667,474376,6104.526316,79,9,5433218,3948.723516,20391965,2930.819731,7123672,5164.679779,1807024,4973.10929,349,10.74358974,2707376,5774.128205,459,12.26923077,7123672,5164.679779,19048492,2694.67631,1990771,4878.626263,393,5.508333333,6367365,4631.583978,8310190,6868.165211,3884112,7198.534224,529,32.33333333,8310190,6868.165211
1A1_C20,C20,Plate1_drugs,1,tolfenamic-acid,treated,0.03125,0.625,1A1,3,20,1326,1.231469791,1.521336101,8357055,6747.569862,1604.789111,41.08911822,10928536,1638.704128,5331560,3944.001416,30177.5,3740.714286,8,3,485814,6244.290948,80,8.845238095,5331560,3944.001416,19452680.5,2878.02263,6899063,5139.779168,1773755.5,5019.217499,341.5,11.31444444,2554443.5,5787.282617,419.5,12.70833333,6899063,5139.779168,16722803.5,2459.15362,1943506,4461.28177,418.5,6.03930164,5513787,4081.107716,8339046,6772.843967,3756469,7083.466287,512.5,33.07878788,8339046,6772.843967
1A1_C21,C21,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,21,1286,1.243225844,1.558468373,8111566,6901.115507,1661.190219,40.4646272,10085542,1582.18234,5094359,3930.344828,28046,3693.222222,7,2.333333333,434343,6002.944444,71,8.076923077,5094359,3930.344828,18217099,2831.666869,6616183,5085.696414,1636999,5030.529915,310,11.74285714,2371194,5729.810606,401,11.64864865,6616183,5085.696414,15334137,2383.309059,1376278,4431.795918,295,5.268656716,5304401,4031.217538,8136965,6927.357778,3611754,7275.929978,486,30.06666667,8136965,6927.357778
